Date,is_tdd,MCC,MNC,CID,PCI,earfcn,freq_band_ind,UL_bandwidth,DL_bandwidth,TAC,RSRP,RSRQ,RSSI,SINR,CQI,tx_power,srxlev,MCC_5g,MNC_5g,PCI_5g,RSRP_5g,SINR_5g,RSRQ_5g,ARFCN_5g,band_5g,mode1,earfcn1,PCI1,RSRQ1,RSRP1,mode2,earfcn2,PCI2,RSRQ2,RSRP2,mode3,earfcn3,PCI3,RSRQ3,RSRP3,mode4,earfcn4,PCI4,RSRQ4,RSRP4,mode5,earfcn5,PCI5,RSRQ5,RSRP5,mode6,earfcn6,PCI6,RSRQ6,RSRP6,mode7,earfcn7,PCI7,RSRQ7,RSRP7,mode8,earfcn8,PCI8,RSRQ8,RSRP8"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-48,11,0,-32768,47,466,97,-1,65535,-32768,-32768,-32768,0,LTE,275,239,-13,-80,LTE,275,53,-15,-84
2021/05/10-19:12:48,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:50,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-49,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:51,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-49,11,10,230,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:53,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-49,11,10,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:54,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-49,11,10,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:56,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-51,11,8,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:12:57,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-51,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:12:59,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-52,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:00,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-52,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:02,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-49,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:03,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-49,11,8,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:05,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-79,-12,-47,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:06,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-79,-12,-47,11,8,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:08,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-48,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:09,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-48,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:11,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,9,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:12,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,9,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:14,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,9,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:16,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,8,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:17,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-51,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:19,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-51,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:20,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-49,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:22,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-49,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:23,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-51,11,8,-50,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:25,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-51,11,9,-40,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:26,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,9,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:28,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:29,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-47,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:31,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-47,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:32,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-51,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:34,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-51,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:35,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-48,11,8,210,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:37,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-12,-48,11,8,230,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:38,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-49,11,8,230,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:13:40,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-13,-49,11,8,230,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:41,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,9,210,-,466,97,53,-102,12,-11,636000,77
2021/05/10-19:13:43,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-48,11,8,210,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:44,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-13,-54,11,8,210,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:46,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-13,-54,11,10,210,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:47,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-85,-15,-51,10,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:49,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-85,-15,-51,10,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:50,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:52,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,10,220,-,466,97,53,-102,12,-11,636000,77
2021/05/10-19:13:53,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-12,-53,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:55,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-12,-53,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:13:56,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,10,0,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:58,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-50,11,10,20,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:13:59,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-15,-50,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:01,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-15,-50,11,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:02,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-52,10,8,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:04,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-82,-14,-52,10,8,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:14:05,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-84,-14,-51,10,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:07,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-84,-14,-51,10,8,220,-,466,97,53,-102,9,-11,636000,77
2021/05/10-19:14:08,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-47,11,9,210,-,466,97,53,-102,12,-11,636000,77
2021/05/10-19:14:10,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-81,-14,-47,11,8,180,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:11,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-77,-13,-44,11,8,210,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:13,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-77,-13,-44,11,10,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:14,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-75,-12,-43,11,8,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:16,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-75,-12,-43,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:17,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-77,-12,-45,11,10,210,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:19,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-77,-12,-45,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:20,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-76,-13,-46,11,9,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:22,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-76,-13,-46,11,10,230,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:23,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-76,-12,-47,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:25,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-76,-12,-47,11,10,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:26,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-79,-14,-47,11,9,220,-,466,97,53,-102,10,-11,636000,77
2021/05/10-19:14:28,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-79,-14,-47,11,9,220,-,466,97,53,-102,11,-11,636000,77
2021/05/10-19:14:29,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-50,11,9,220,-,466,97,53,-102,12,-11,636000,77
2021/05/10-19:14:31,"FDD",466,97,19E6C8D,239,275,1,4,4,2BE8,-80,-13,-50,11,9,220,-,466,97,53,-102,11,-11,636000,77
